ID;RegioS;Perioden;Mannen_2;Vrouwen_3;TotaalMetMigratieachtergrond_35;Bevolkingsdichtheid_57;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;TypeEenpersoonshuishouden_133;TypeEenoudergezin_134;TypePaarZonderKind_135;TypePaarMetKindEren_136;BronInkomenAlsWerknemer_137;BronInkomenAlsZelfstandige_138;Werkloosheid_155
15170;GM1734;2017JJ00;23561;23833;5251;434;    65.6;    33.3;     1.0;    19.3;    19.2;    24.9;    24.3;    33.3;    34.1;    32.8;    41.5;780
15171;GM1734;2018JJ00;23574;23907;5409;435;    66.6;    32.4;     1.0;    20.5;    19.3;    25.7;    24.0;    33.2;    35.1;    33.1;    45.2;620
15172;GM1734;2019JJ00;23638;23905;5511;435;    68.2;    31.5;     0.3;    20.8;    19.4;    27.7;    26.4;    35.7;    37.3;    34.8;    49.2;530
15198;GM0590;2017JJ00;15871;16421;5581;3430;    63.3;    36.1;     0.6;    14.0;    14.0;    26.0;    24.1;    33.3;    33.1;    32.6;    41.7;520
15199;GM0590;2018JJ00;15860;16404;5701;3427;    64.1;    35.3;     0.6;    14.5;    14.0;    26.0;    25.3;    32.8;    34.0;    33.0;    44.4;390
15200;GM0590;2019JJ00;15898;16392;5868;3430;    64.7;    34.8;     0.5;    14.5;    14.0;    27.8;    26.2;    35.3;    37.7;    34.5;    54.2;300
15226;GM1894;2017JJ00;21999;21348;4686;272;    70.8;    28.2;     1.0;    16.6;    17.8;    23.5;    25.4;    31.8;    33.8;    31.5;    41.0;820
15227;GM1894;2018JJ00;21988;21324;4758;272;    71.4;    27.7;     0.9;    16.8;    17.9;    24.6;    25.5;    31.2;    33.7;    31.9;    42.7;690
15228;GM1894;2019JJ00;21997;21314;4811;272;    72.5;    27.3;     0.2;    16.8;    18.0;    26.0;    27.1;    33.0;    36.5;    33.2;    49.0;650
15254;GM0124;2017JJ00;;;;;;;;;;;;;;;;
15255;GM0124;2018JJ00;;;;;;;;;;;;;;;;
15256;GM0124;2019JJ00;;;;;;;;;;;;;;;;
15282;GM0765;2017JJ00;6341;6176;1218;255;    62.8;    36.5;     0.6;     2.5;     5.4;    21.1;    20.9;    26.6;    26.6;    27.7;    34.1;260
15283;GM0765;2018JJ00;6174;6071;1018;250;    62.5;    37.0;     0.5;     2.6;     5.5;    21.5;    21.0;    26.5;    27.2;    27.9;    35.2;200
15284;GM0765;2019JJ00;6170;6044;1051;249;    63.9;    35.9;     0.2;     2.7;     5.5;    22.5;    22.1;    27.6;    29.4;    29.1;    39.2;200
15310;GM0594;2017JJ00;;;;;;;;;;;;;;;;
15311;GM0594;2018JJ00;;;;;;;;;;;;;;;;
15312;GM0594;2019JJ00;;;;;;;;;;;;;;;;
15338;GM1926;2017JJ00;26215;26441;10497;1411;    69.6;    29.9;     0.5;    15.0;    20.0;    28.4;    27.0;    37.8;    38.1;    36.2;    46.2;750
15339;GM1926;2018JJ00;26723;26911;11074;1446;    69.5;    29.9;     0.5;    15.3;    20.4;    28.5;    28.8;    37.1;    38.5;    36.7;    45.6;560
15340;GM1926;2019JJ00;27017;27314;11480;1465;    71.4;    28.6;     0.0;    16.2;    20.8;    30.2;    30.3;    40.0;    41.8;    38.6;    52.2;520
15366;GM0832;2017JJ00;;;;;;;;;;;;;;;;
15367;GM0832;2018JJ00;;;;;;;;;;;;;;;;
15368;GM0832;2019JJ00;;;;;;;;;;;;;;;;
15394;GM0439;2017JJ00;38973;40955;20361;3446;    58.4;    41.2;     0.4;    25.1;    35.4;    23.7;    23.8;    32.1;    33.2;    31.7;    37.2;1520
15395;GM0439;2018JJ00;38986;40997;20847;3454;    58.5;    41.0;     0.4;    24.9;    35.5;    24.1;    24.3;    31.8;    33.3;    32.0;    38.2;1230
15396;GM0439;2019JJ00;39065;41052;21453;3460;    59.2;    40.7;     0.0;    24.7;    35.6;    25.3;    25.7;    33.7;    35.5;    33.3;    43.9;1010
15422;GM0833;2017JJ00;;;;;;;;;;;;;;;;
15423;GM0833;2018JJ00;;;;;;;;;;;;;;;;
15424;GM0833;2019JJ00;;;;;;;;;;;;;;;;
15450;GM0273;2017JJ00;12129;12299;1892;287;    66.7;    32.1;     1.2;     8.1;     9.7;    24.1;    25.1;    35.4;    34.7;    31.5;    44.2;270
